ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Num_Floors,Year_Built,Has_Garden,Has_Pool,Garage_Size,Location_Score,Distance_to_Center,Price
1,143.63502971184062,1,3,3,1967,1,1,48,8.297631202876449,5.935733640397012,602134.816746586
2,287.67857660247904,1,2,1,1949,0,1,37,6.061465649334798,10.827392203145374,591425.1353862194
3,232.99848545285127,1,3,2,1923,1,0,14,2.9114424778517902,6.904599073399449,464478.6968798775
4,199.66462104925915,5,2,2,1918,0,0,17,2.0709491817657124,8.284018511436607,583105.655996478
5,89.00466011060914,4,3,3,1999,1,0,34,1.523277856626788,14.648277296253372,619879.1425227895
6,88.99863008405066,5,3,2,1959,1,1,36,8.994552125461016,17.633249646654253,670386.8044330856
7,64.52090304204987,4,3,1,1938,0,1,32,7.101354317980658,2.4299078217553083,523827.1256006135
8,266.54403644373383,5,1,3,1973,1,1,39,9.373784381643208,12.69278512974761,875352.5451883507
9,200.2787529358022,5,1,1,1988,1,1,32,6.0329180571494305,11.64287615155597,738269.852342477
10,227.01814444901137,3,2,1,1917,0,0,29,4.734008814949125,2.3683007835186376,490552.681240454
11,55.14612357395061,5,2,2,1918,1,0,27,0.5971648897088933,4.237886608802182,488942.13124439935
12,292.4774630404986,2,1,3,1935,1,1,27,6.716422815460298,6.220049894653606,677623.4667819565
13,258.11066020010543,3,2,3,1973,1,0,11,5.822087597682311,3.3386214163500294,685123.5340514993
14,103.08477766956904,5,1,2,1996,0,1,13,9.902088935876215,4.874589650486836,658652.7892522971
15,95.45624180177515,1,3,1,1954,0,1,39,2.3915877778224304,5.35201597723415,413729.0743278516
16,95.85112746335845,2,2,1,2013,1,0,42,5.307373552868358,6.713476660781192,523527.97467753565
17,126.06056073988444,2,2,1,1968,0,1,45,6.509573351180727,14.987809056023181,527769.8130275381
18,181.18910790805947,2,1,1,1946,1,1,27,6.445911747423436,11.438244077012014,514260.99504370557
19,157.98625466052894,3,2,3,1948,1,0,46,5.612935429484027,19.724933439028028,581392.9358432371
20,122.80728504951048,5,2,3,1998,1,1,28,7.769280103272255,8.29471653934942,750687.6198562378
21,202.96322368059487,5,3,2,2007,1,1,37,2.049812095268164,15.077301476738501,832883.8728118391
22,84.87346516301045,1,2,2,1997,1,0,49,7.256272002744159,17.429368427530676,479876.36463861604
23,123.03616213380454,1,3,3,1932,0,1,29,6.197345714330892,13.579569860760838,437751.6430154121
24,141.59046082342292,2,1,3,2018,1,0,42,8.960751117945733,8.237294808349919,629162.3560146224
25,164.01749605425897,1,2,1,1920,0,1,21,8.471944390335818,15.07189261491506,394665.7509562052
26,246.2939903482534,3,3,1,1980,0,0,24,3.1514703913255326,4.073342755453697,651471.4064928052
27,99.91844553958992,5,1,2,1921,1,0,48,2.7623732497515308,6.551043303602649,563531.4769281208
28,178.5586096034029,2,2,3,1947,1,0,11,9.816533238524478,10.933705101985776,528557.4860487292
29,198.1036422155106,1,1,2,1936,0,1,38,5.272651809152565,11.508187745722967,466357.44182484015
30,61.61260317999943,3,2,3,1914,0,0,19,9.064209639144368,0.44282950945258914,428376.72080725076
31,201.8862129753596,3,1,1,1934,0,0,11,1.638810237804822,18.902283775120175,438805.8696075837
32,92.63103092182288,1,1,2,1991,1,0,20,6.428189148001743,13.9325454243478,408507.95279092755
